date,rating,title_review,title_review_tokenized
2020-03-20 07:22:52,5,good appp good app,"['good', 'appp', 'good']"
2020-03-26 15:51:58,5,why did you removed the 711 in cashin  why did you removed the 711 in cashin ,"['remove', 'cashin', 'remove', 'cashin']"
2020-03-29 14:10:31,4,ministop add money option is such a hassle most ministop they partnered with is offline so do not bother trying to go ministop to add funds such a waste of time remove ministop as an option for add money,"['ministop', 'add', 'money', 'option', 'hassle', 'ministop', 'partner', 'offline', 'bother', 'try', 'go', 'ministop', 'add', 'fund', 'waste', 'time', 'remove', 'ministop', 'option', 'add', 'money']"
2020-03-30 01:10:54,5,"very bad service i have been contacting them about a payment i made via this app because such payment did not reach the biller it has been two weeks since the payment was made as of writing i have been contacting them via email messenger call and to no avail no one responded with a resolution nor offered to help until now my line is cut because i do not have extra to pay off my bill twice very disappointing
update no ticket was provided i checked the email and miyuki replied to me asking for my details last march 10 545amfor reference isent the screenshot of the email to paymaya cares messenger i provided it on the same day and i got no response since then i also communicated via paymaya cares and got no response either i followedup last march 28 via email and messenger and still no response","['bad', 'service', 'contact', 'payment', 'make', 'via', 'payment', 'reach', 'biller', 'two', 'week', 'since', 'payment', 'make', 'write', 'contact', 'via', 'email', 'messenger', 'call', 'avail', 'one', 'respond', 'resolution', 'offer', 'help', 'line', 'cut', 'extra', 'pay', 'bill', 'twice', 'disappointing', 'update', 'ticket', 'provide', 'check', 'email', 'miyuki', 'reply', 'ask', 'detail', 'last', 'march', 'reference', 'isent', 'screenshot', 'email', 'care', 'messenger', 'provide', 'day', 'get', 'response', 'since', 'also', 'communicate', 'via', 'care', 'get', 'response', 'either', 'followedup', 'last', 'march', 'via', 'email', 'messenger', 'still', 'response']"
2020-04-16 00:31:32,5,can not upgrade i can not upgrade my account try to message you guys about it but no one responded i need to send money,"['upgrade', 'upgrade', 'account', 'try', 'message', 'guy', 'one', 'respond', 'need', 'send', 'money']"
2020-04-22 03:43:07,5,great app all services that i need are in this app 2 months ago whenever i purchase in an ingame app it is charged real time hope you could address this thanks ,"['great', 'service', 'need', 'month', 'ago', 'whenever', 'purchase', 'ingame', 'charge', 'real', 'time', 'hope', 'could', 'address', 'thanks']"
2020-04-22 04:49:02,5,best mobile payment aggregator paymaya has always improved their payment services with add money through credit card facility is big plus to their services,"['best', 'mobile', 'payment', 'aggregator', 'always', 'improve', 'payment', 'service', 'add', 'money', 'credit', 'card', 'facility', 'big', 'plus', 'service']"
2020-04-29 16:57:36,5,"improve your monthly limit i like everything about paymaya make online transactions easier without a need of a bank

but the thing is account limit is a little low need to increase it for another 100000 or more since I am doing it for like my debit card now for buying groceries and stuff

we would be willing to send more verification if they need it 

but over all 5 star for me ","['improve', 'monthly', 'limit', 'like', 'everything', 'make', 'online', 'transaction', 'easier', 'without', 'need', 'bank', 'thing', 'account', 'limit', 'little', 'low', 'need', 'increase', 'another', 'since', 'I', 'like', 'debit', 'card', 'buy', 'grocery', 'stuff', 'would', 'willing', 'send', 'verification', 'need', 'star']"
2020-05-02 00:32:23,5,this app should be for all networks i tried installing the app but the app itself disallowed me from joining just because I am using a globe service provider please be more open minded,"['network', 'try', 'instal', 'disallow', 'join', 'I', 'use', 'globe', 'service', 'provider', 'open', 'mind']"
2020-05-06 02:11:56,5,user friendly app app is very easy to use,"['user', 'friendly', 'easy', 'use']"
2020-05-09 08:04:38,5,please include saving of our bank transfer info please let us save biller list info and bank transfers  we made so we can just send it again without typing the same info ,"['include', 'save', 'bank', 'transfer', 'info', 'let', 'u', 'save', 'biller', 'list', 'info', 'bank', 'transfer', 'make', 'send', 'without', 'type', 'info']"
2020-05-10 01:29:23,5,load options the app is really good it would be wonderful to see more options when it comes to load i would love to see options like other denominations for more flexibility also it would be great if the minimum of is not 500 make it more affordable thank you for the great app,"['load', 'option', 'really', 'good', 'would', 'wonderful', 'see', 'option', 'come', 'load', 'would', 'love', 'see', 'option', 'like', 'denomination', 'flexibility', 'also', 'would', 'great', 'minimum', 'make', 'affordable', 'great']"
2020-05-12 07:44:09,5,liked added security i liked the added otp feature for additional layer of security others may not like it but for me it is a plus for paymaya i rather enter otp again and again than being sorry later very useful in paying sss and even international online purchases,"['like', 'added', 'security', 'like', 'added', 'otp', 'feature', 'additional', 'layer', 'security', 'others', 'like', 'plus', 'rather', 'enter', 'otp', 'sorry', 'later', 'useful', 'pay', 'ss', 'even', 'international', 'online', 'purchase']"
2020-05-13 13:57:28,5,best paying app I have ever seen dude i can now buy robux omg thank you,"['best', 'pay', 'I', 'ever', 'see', 'dude', 'buy', 'robux', 'omg']"
