Topics,Alpha,Eta,Coherence
8,asymmetric,symmetric,0.41619730673454514
9,0.01,0.01,0.46234767764251494
9,0.01,0.31,0.45868405155691455
9,0.01,0.61,0.5175806593836038
9,0.01,0.9099999999999999,0.5109575232064789
9,0.01,symmetric,0.42531124618723154
9,0.31,0.01,0.4312401338771632
9,0.31,0.31,0.4935075843696196
9,0.31,0.61,0.527641387724834
9,0.31,0.9099999999999999,0.5104785310529859
9,0.31,symmetric,0.4868923521031793
9,0.61,0.01,0.3969822318326934
9,0.61,0.31,0.38671066066312726
9,0.61,0.61,0.2532216800774012
9,0.61,0.9099999999999999,0.20702503578489317
9,0.61,symmetric,0.435191926412014
9,0.9099999999999999,0.01,0.455410981080542
9,0.9099999999999999,0.31,0.26438140842920543
9,0.9099999999999999,0.61,0.23807079672755405
9,0.9099999999999999,0.9099999999999999,0.2403850049865429
9,0.9099999999999999,symmetric,0.41862078715548373
9,symmetric,0.01,0.4395246553403521
9,symmetric,0.31,0.4473517324143051
9,symmetric,0.61,0.4618429145412878
9,symmetric,0.9099999999999999,0.5217178531983199
9,symmetric,symmetric,0.47084129003132663
9,asymmetric,0.01,0.44687864675225863
9,asymmetric,0.31,0.4989266516870175
9,asymmetric,0.61,0.6111779458215545
9,asymmetric,0.9099999999999999,0.5555435403352446
9,asymmetric,symmetric,0.4119357188416486
10,0.01,0.01,0.5202034244564927
10,0.01,0.31,0.5290098023867656
10,0.01,0.61,0.5533010880223969
10,0.01,0.9099999999999999,0.5239822605279851
10,0.01,symmetric,0.5294472806658502
10,0.31,0.01,0.4178784513042701
10,0.31,0.31,0.5072490642078071
10,0.31,0.61,0.4987071545237147
10,0.31,0.9099999999999999,0.5044881909898576
10,0.31,symmetric,0.46397155716470795
10,0.61,0.01,0.4236550757742091
10,0.61,0.31,0.3572343541852971
10,0.61,0.61,0.24506375511681458
10,0.61,0.9099999999999999,0.20843485080473179
10,0.61,symmetric,0.42802028697133104
10,0.9099999999999999,0.01,0.4492825531363378
10,0.9099999999999999,0.31,0.25344226426699334
10,0.9099999999999999,0.61,0.2365114517676387
10,0.9099999999999999,0.9099999999999999,0.22750620148114273
10,0.9099999999999999,symmetric,0.4267327946827651
10,symmetric,0.01,0.4534714937946516
10,symmetric,0.31,0.5334441770632088
10,symmetric,0.61,0.545967570683947
10,symmetric,0.9099999999999999,0.5400973933908709
10,symmetric,symmetric,0.5336362552577465
10,asymmetric,0.01,0.36571285769714473
10,asymmetric,0.31,0.4623830552270619
10,asymmetric,0.61,0.4691592241625733
10,asymmetric,0.9099999999999999,0.48961292101720966
10,asymmetric,symmetric,0.43627860149445696
