Topics,Alpha,Eta,Coherence
4,asymmetric,0.9099999999999999,0.6573818186237147
4,asymmetric,symmetric,0.5924480834309682
5,0.01,0.01,0.547650919883394
5,0.01,0.31,0.538029431660487
5,0.01,0.61,0.5420491420902305
5,0.01,0.9099999999999999,0.5267659377342329
5,0.01,symmetric,0.5624986133033
5,0.31,0.01,0.45641666309110585
5,0.31,0.31,0.5480256466239777
5,0.31,0.61,0.5462688550533604
5,0.31,0.9099999999999999,0.5751096714102383
5,0.31,symmetric,0.5246082829156054
5,0.61,0.01,0.5121933351294159
5,0.61,0.31,0.4736946514006414
5,0.61,0.61,0.3563942782445194
5,0.61,0.9099999999999999,0.3194052516580492
5,0.61,symmetric,0.5045485729326389
5,0.9099999999999999,0.01,0.536564549563727
5,0.9099999999999999,0.31,0.3818623363728557
5,0.9099999999999999,0.61,0.3194052516580492
5,0.9099999999999999,0.9099999999999999,0.3396248854853498
5,0.9099999999999999,symmetric,0.5007018963046531
5,symmetric,0.01,0.5267622290894627
5,symmetric,0.31,0.536516225589396
5,symmetric,0.61,0.534726361682026
5,symmetric,0.9099999999999999,0.538537260168603
5,symmetric,symmetric,0.5415153979597882
5,asymmetric,0.01,0.5230798022788838
5,asymmetric,0.31,0.6083068133962015
5,asymmetric,0.61,0.6196814635427353
5,asymmetric,0.9099999999999999,0.6795450038063958
5,asymmetric,symmetric,0.5831515170706405
6,0.01,0.01,0.5604297631302327
6,0.01,0.31,0.5562483144858851
6,0.01,0.61,0.5689884894338898
6,0.01,0.9099999999999999,0.5585311437683375
6,0.01,symmetric,0.5576894739785584
6,0.31,0.01,0.5024064063739287
6,0.31,0.31,0.5401093761146946
6,0.31,0.61,0.564470127971466
6,0.31,0.9099999999999999,0.5489464045271576
6,0.31,symmetric,0.5549822566597723
6,0.61,0.01,0.5219455195402111
6,0.61,0.31,0.47049282501747264
6,0.61,0.61,0.3360061528877561
6,0.61,0.9099999999999999,0.334206662619152
6,0.61,symmetric,0.5049837618553422
6,0.9099999999999999,0.01,0.562690497612995
6,0.9099999999999999,0.31,0.35288897024357463
6,0.9099999999999999,0.61,0.3244101721429207
6,0.9099999999999999,0.9099999999999999,0.3395175664137069
6,0.9099999999999999,symmetric,0.509754547498912
6,symmetric,0.01,0.5182262225008359
6,symmetric,0.31,0.5612864570140043
6,symmetric,0.61,0.5610235913053643
6,symmetric,0.9099999999999999,0.5418262496132165
6,symmetric,symmetric,0.5628406541177587
6,asymmetric,0.01,0.5803290575209558
6,asymmetric,0.31,0.6567782302707763
6,asymmetric,0.61,0.6230727806314472
6,asymmetric,0.9099999999999999,0.5929666689566058
6,asymmetric,symmetric,0.5628551896934885
7,0.01,0.01,0.5322854562707745
7,0.01,0.31,0.5728928721588538
7,0.01,0.61,0.568347296196819
7,0.01,0.9099999999999999,0.5565271743394827
7,0.01,symmetric,0.5655845047463172
7,0.31,0.01,0.5028000877032126
7,0.31,0.31,0.5532648339320299
7,0.31,0.61,0.5377823274986816
7,0.31,0.9099999999999999,0.5414342765758612
7,0.31,symmetric,0.5306594738211591
7,0.61,0.01,0.5651590886569042
7,0.61,0.31,0.45102247609103563
7,0.61,0.61,0.3299098277224421
7,0.61,0.9099999999999999,0.33990084881243154
7,0.61,symmetric,0.5115340596261178
7,0.9099999999999999,0.01,0.5947188091705343
7,0.9099999999999999,0.31,0.3503478766491406
7,0.9099999999999999,0.61,0.3343268813594667
7,0.9099999999999999,0.9099999999999999,0.3394409099339621
7,0.9099999999999999,symmetric,0.534656448592133
7,symmetric,0.01,0.49981411383871027
7,symmetric,0.31,0.5604790820983061
7,symmetric,0.61,0.5689905501626462
7,symmetric,0.9099999999999999,0.5519484899996294
7,symmetric,symmetric,0.546024739717739
7,asymmetric,0.01,0.5418071443094946
7,asymmetric,0.31,0.6745494738693207
7,asymmetric,0.61,0.6892200085916566
7,asymmetric,0.9099999999999999,0.6513480901491213
7,asymmetric,symmetric,0.5791217544727713
8,0.01,0.01,0.5472686808400793
8,0.01,0.31,0.5564598419448178
8,0.01,0.61,0.5555829138761619
8,0.01,0.9099999999999999,0.5231631948270254
8,0.01,symmetric,0.5674917723652517
8,0.31,0.01,0.5288482957492467
8,0.31,0.31,0.5708002615883809
8,0.31,0.61,0.5495828702552383
8,0.31,0.9099999999999999,0.5397411695581673
8,0.31,symmetric,0.5154068910210001
8,0.61,0.01,0.6078331427720544
8,0.61,0.31,0.42739289021996124
8,0.61,0.61,0.3288611857234162
8,0.61,0.9099999999999999,0.33938341757415336
8,0.61,symmetric,0.5265084846508873
8,0.9099999999999999,0.01,0.6205317058626642
8,0.9099999999999999,0.31,0.35061002861595936
8,0.9099999999999999,0.61,0.33952543297216575
8,0.9099999999999999,0.9099999999999999,0.3392591526814184
8,0.9099999999999999,symmetric,0.5767019558043494
8,symmetric,0.01,0.5483979925114489
8,symmetric,0.31,0.5727330161060896
8,symmetric,0.61,0.5557936958268739
8,symmetric,0.9099999999999999,0.5455705056052058
8,symmetric,symmetric,0.5379713535558572
8,asymmetric,0.01,0.5318724427583781
8,asymmetric,0.31,0.6871469798987895
8,asymmetric,0.61,0.6963355279020952
8,asymmetric,0.9099999999999999,0.6522531349105241
8,asymmetric,symmetric,0.532231054736835
9,0.01,0.01,0.5285330876978593
9,0.01,0.31,0.5363388297046312
9,0.01,0.61,0.5504923774438946
9,0.01,0.9099999999999999,0.5206874857984894
9,0.01,symmetric,0.5420922186318892
9,0.31,0.01,0.5463536277284287
9,0.31,0.31,0.5700053322704285
9,0.31,0.61,0.5706971721781495
9,0.31,0.9099999999999999,0.5541065356912955
9,0.31,symmetric,0.5448781707139415
9,0.61,0.01,0.6036580518029245
9,0.61,0.31,0.37579958225306104
9,0.61,0.61,0.3359243346739432
9,0.61,0.9099999999999999,0.3393387012943021
9,0.61,symmetric,0.5287324243452709
9,0.9099999999999999,0.01,0.6266739476322565
9,0.9099999999999999,0.31,0.3409996193898117
9,0.9099999999999999,0.61,0.3390470217925599
9,0.9099999999999999,0.9099999999999999,0.3392591526814184
9,0.9099999999999999,symmetric,0.5955512275100845
9,symmetric,0.01,0.5120577148889569
9,symmetric,0.31,0.5620980416460246
9,symmetric,0.61,0.5373312662548144
9,symmetric,0.9099999999999999,0.5438639615272081
9,symmetric,symmetric,0.5564395327730394
9,asymmetric,0.01,0.6328230597459981
9,asymmetric,0.31,0.6605252260296726
9,asymmetric,0.61,0.6226867742351616
9,asymmetric,0.9099999999999999,0.6096551647573254
9,asymmetric,symmetric,0.5631952708379946
10,0.01,0.01,0.5552685938337298
10,0.01,0.31,0.5709124871479215
10,0.01,0.61,0.5312998716979216
10,0.01,0.9099999999999999,0.5179660407113509
10,0.01,symmetric,0.5671292839640095
10,0.31,0.01,0.5375384038734483
10,0.31,0.31,0.5396423630704741
10,0.31,0.61,0.52125338856522
10,0.31,0.9099999999999999,0.49198489598667133
10,0.31,symmetric,0.5297501684421999
10,0.61,0.01,0.5692073100275198
10,0.61,0.31,0.34998105059021134
10,0.61,0.61,0.33643834320861676
10,0.61,0.9099999999999999,0.3392591526814184
10,0.61,symmetric,0.5512215243663563
10,0.9099999999999999,0.01,0.5903963155565759
10,0.9099999999999999,0.31,0.3376149461087953
10,0.9099999999999999,0.61,0.33962488548534975
10,0.9099999999999999,0.9099999999999999,0.3392591526814184
10,0.9099999999999999,symmetric,0.6046806718085892
10,symmetric,0.01,0.5236705558689791
10,symmetric,0.31,0.5658365060724057
10,symmetric,0.61,0.5530884257133579
10,symmetric,0.9099999999999999,0.5355971337357956
10,symmetric,symmetric,0.5293870624035104
10,asymmetric,0.01,0.5133212492325756
10,asymmetric,0.31,0.5619121488797234
10,asymmetric,0.61,0.5885655277602972
10,asymmetric,0.9099999999999999,0.5664855080135217
10,asymmetric,symmetric,0.5182763001056852
