Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.31,symmetric,0.24757427718716918
100% Corpus,4,0.61,0.01,0.28092492039854855
100% Corpus,4,0.61,0.31,0.26125924316670757
100% Corpus,4,0.61,0.61,0.2710182505936862
100% Corpus,4,0.61,0.9099999999999999,0.27102254192932135
100% Corpus,4,0.61,symmetric,0.27498744243421497
100% Corpus,4,0.9099999999999999,0.01,0.26312413031363
100% Corpus,4,0.9099999999999999,0.31,0.26314428659883116
100% Corpus,4,0.9099999999999999,0.61,0.2542019053777161
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.24750575375323425
100% Corpus,4,0.9099999999999999,symmetric,0.2684248986200266
100% Corpus,4,symmetric,0.01,0.25454983644924867
100% Corpus,4,symmetric,0.31,0.2617261135064949
100% Corpus,4,symmetric,0.61,0.25563982853632017
100% Corpus,4,symmetric,0.9099999999999999,0.26429795595992944
100% Corpus,4,symmetric,symmetric,0.2673660977662333
100% Corpus,4,asymmetric,0.01,0.24265629804280647
100% Corpus,4,asymmetric,0.31,0.23525745626986166
100% Corpus,4,asymmetric,0.61,0.23019826760525794
100% Corpus,4,asymmetric,0.9099999999999999,0.26891839092509345
100% Corpus,4,asymmetric,symmetric,0.2442172732816289
100% Corpus,5,0.01,0.01,0.2740035721681803
100% Corpus,5,0.01,0.31,0.26968682016235623
100% Corpus,5,0.01,0.61,0.28794456077036557
100% Corpus,5,0.01,0.9099999999999999,0.289817412278521
100% Corpus,5,0.01,symmetric,0.27265413417164197
100% Corpus,5,0.31,0.01,0.26162865027686105
100% Corpus,5,0.31,0.31,0.25978564245139346
100% Corpus,5,0.31,0.61,0.25168580961871534
100% Corpus,5,0.31,0.9099999999999999,0.2649193143640643
100% Corpus,5,0.31,symmetric,0.25852751959505593
100% Corpus,5,0.61,0.01,0.2800725322813646
100% Corpus,5,0.61,0.31,0.2637094082228765
100% Corpus,5,0.61,0.61,0.27792714819844033
100% Corpus,5,0.61,0.9099999999999999,0.2896380365969631
100% Corpus,5,0.61,symmetric,0.26768538531029373
100% Corpus,5,0.9099999999999999,0.01,0.2613338487737106
100% Corpus,5,0.9099999999999999,0.31,0.25968211252062423
100% Corpus,5,0.9099999999999999,0.61,0.27451369222567773
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2653045124759975
100% Corpus,5,0.9099999999999999,symmetric,0.2610102968450201
100% Corpus,5,symmetric,0.01,0.253352446966051
100% Corpus,5,symmetric,0.31,0.26375692834528663
100% Corpus,5,symmetric,0.61,0.2791524167265658
100% Corpus,5,symmetric,0.9099999999999999,0.27774816530302815
100% Corpus,5,symmetric,symmetric,0.27814312632318666
100% Corpus,5,asymmetric,0.01,0.2765526213909285
100% Corpus,5,asymmetric,0.31,0.2659315272978891
100% Corpus,5,asymmetric,0.61,0.26785705413231514
100% Corpus,5,asymmetric,0.9099999999999999,0.2794218712385056
100% Corpus,5,asymmetric,symmetric,0.2827767861406846
